t_rel_s,label,rms_m
91.878,screen,0.000710
91.917,screen,0.000706
91.958,screen,0.000733
91.998,screen,0.000761
92.037,screen,0.000716
92.076,screen,0.000701
92.119,screen,0.000670
92.159,screen,0.000648
92.200,screen,0.000613
92.241,screen,0.000602
92.280,screen,0.000589
92.319,screen,0.000561
92.361,screen,0.000525
92.400,screen,0.000522
92.442,screen,0.000504
92.481,screen,0.000481
92.520,screen,0.000462
92.562,screen,0.000469
92.600,screen,0.000452
92.640,screen,0.000463
92.683,screen,0.000463
92.720,screen,0.000472
92.760,screen,0.000437
92.801,screen,0.000461
92.844,screen,0.000441
92.882,screen,0.000435
92.924,screen,0.000439
92.962,screen,0.000430
93.001,screen,0.000426
93.044,screen,0.000420
93.083,screen,0.000421
93.127,screen,0.000425
93.163,screen,0.000460
93.204,screen,0.000443
93.246,screen,0.000445
93.282,screen,0.000455
93.323,screen,0.000441
93.366,screen,0.000437
93.404,screen,0.000448
93.443,screen,0.000428
